Name,Party,Stiftung gemeinnütziger Wohnungsbau,Separativer Unterricht,Kündigung Bilaterale Verträge,Ausbau Stadion Schützenwiese,Kostenmiete statt Marktmiete,Public-Private-Partnerships,Verdichtetes Bauen,Bau von Windkraftanlagen,Engere Beziehungen zur EU,Verbot automatisierter Gesichtserkennung,Freie Marktwirtschaft,Einsatz von Sozialdetektiv/-innen,Barrierefreies Wohnen,Kürzung Sozialausgaben,Neubau Alterszentrum Adlergarten,Wohnungsvergabe an Einwohnende,Tagesschulen,Handyverbot an Schulen,Gleiche Bildungschancen,Stimmrecht für Ausländer/-innen,Abschaffung Wohnsitzpflicht,Gebührenfreie Einbürgerung unter 25,Selbstfinanzierte Sprachkurse für Ausländer/-innen,Ausbau Kulturförderung,Finanzierung Internationale Kurzfilmtage,Verbot geschlechtsneutraler Sprache,Steuersenkung,Schuldenabbau,Einstellungsstopp Stadtverwaltung,Strengere Kontrollen Lohngleichheit,Bessere Arbeitsbedingungen Stadtpersonal,Parkbewilligungen für Schichtarbeitende,Ökologische Mindeststandards im Bau,Lockerung Denkmal- und Ortsbildschutz,Sanierung Campingplatz Schützenweiher,Velowege statt Parkplätze,Verzicht auf Tram- und S-Bahn-Ausbau,Förderung motorisierter Individualverkehr,Förderung Fernwärmeanschluss,Förderung Dach- und Fassadenbegrünung,Begrünung Stadtraum,Digitale Stadtverwaltung,Ausbau Auslandshilfe,Strikte Neutralitätspolitik,Massnahmen gegen Littering,Massnahmen gegen Drogenkonsum,Stärkeres Engagement gegen häusliche Gewalt,Erhöhte Polizeipräsenz,Staatliche Umverteilung,Bestrafung von Kriminellen,Umweltschutz,About us,Methods,Partners & media
Markus Steiner,Sozialdemokratische Partei,Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),1 (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),7 (data-value=100),1 (data-value=0),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Fredy Künzler,Sozialdemokratische Partei,Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),4 (data-value=50),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),5 (data-value=67),1 (data-value=0),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Marilena Gnesa,Sozialdemokratische Partei,Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),2 (data-value=17),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),7 (data-value=100),2 (data-value=17),6 (data-value=83),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Philippe Weber,Sozialdemokratische Partei,Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),1 (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),7 (data-value=100),1 (data-value=0),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Thomi Gschwind,Sozialdemokratische Partei,Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),1 (data-value=0),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather yes (data-value=75),Rather no (data-value=25),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),7 (data-value=100),3 (data-value=33),6 (data-value=83),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Livia Merz,Sozialdemokratische Partei,Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),1 (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),7 (data-value=100),2 (data-value=17),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Katja Hager,Sozialdemokratische Partei,Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),1 (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),7 (data-value=100),2 (data-value=17),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Cristina Brunel,Sozialdemokratische Partei,Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),2 (data-value=17),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),Yes (data-value=100),No (data-value=0),Rather no (data-value=25),Rather no (data-value=25),Yes (data-value=100),Rather no (data-value=25),6 (data-value=83),3 (data-value=33),5 (data-value=67),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Franziska Tschirky Feratovic,Sozialdemokratische Partei,Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),2 (data-value=17),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),6 (data-value=83),1 (data-value=0),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Luca Tschan,Sozialdemokratische Partei,Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),1 (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather no (data-value=25),Rather yes (data-value=75),Yes (data-value=100),Rather no (data-value=25),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Rather no (data-value=25),7 (data-value=100),2 (data-value=17),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
Valeria Muster,Sozialdemokratische Partei,Yes (data-value=100),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Rather yes (data-value=75),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),1 (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),No (data-value=0),Yes (data-value=100),Yes (data-value=100),No (data-value=0),Yes (data-value=100),Yes (data-value=100),Yes (data-value=100),Rather yes (data-value=75),Yes (data-value=100),No (data-value=0),No (data-value=0),No (data-value=0),Yes (data-value=100),No (data-value=0),7 (data-value=100),1 (data-value=0),7 (data-value=100),"Project & team
                  FAQ
                  Funding
                  Donate","Questionnaire
                  Voting recommendation
                  smartspider
                  smartmap","Platform partners
                  Media coverage"
